id,zh,ro,cat,old_ipa,new_ipa,old_hint,new_hint
817,吸引力,atracție,旅行,,atrAcție,,名词 · 复数: atracții
818,听众,audiență,艺术,,audIEnță,,名词 · 复数: audiențe
819,权威,autoritate,社会,,autoritAte,,名词 · 复数: autorități
820,警告,avertisment,社会,,avertIsment,,名词 · 复数: avertismente
821,律师,avocat,社会,,avOcat,,名词 · 复数待核对: avocate
822,收容所,azil,社会,,Azil,,名词 · 复数待核对: azile
823,舞会,bal,文化,,bAl,,名词 · 复数待核对: bale
824,纸币,bancnotă,金融,,bancnOtă,,名词 · 复数: bancnote
825,障碍,barieră,交通,,barIEră,,名词 · 复数: bariere
826,手杖,baston,健康,,bAston,,名词 · 复数待核对: bastone
827,集市,bazaar,购物,,bazAAr,,名词 · 复数待核对: bazaare
828,图书管理员,bibliotecar,职场,,bibliotecAr,,名词 · 复数待核对: bibliotecare
829,首饰,bijuterie,购物,,bijutErie,,名词 · 复数待核对: bijuterii
830,温柔,blândețe,情感,,blândEțe,,名词 · 复数待核对: blândeți
831,豆粒,boabe,饮食,,bOAbe,,名词 · 复数待核对: boabi
832,奖金,bonus,金融,,bOnus,,名词 · 复数待核对: bonuse
833,厨师,bucătar,烹饪,,bucătAr,,名词 · 复数待核对: bucătare
834,棉花,bumbac,购物,,bUmbac,,名词 · 复数待核对: bumbace
835,肚脐,buric,身体,,burIc,,名词 · 复数待核对: burice
836,奖学金生,bursier,教育,,bUrsier,,名词 · 复数待核对: bursiere
837,咖啡因,cafeină,饮食,,cafEInă,,名词 · 复数: cafeine
838,锦标赛,campionat,运动,,campIOnat,,名词 · 复数待核对: campionate
839,候选人,candidat,社会,,candIdat,,名词 · 复数待核对: candidate
840,沙发,canapea,家居,,canApea,,名词 · 复数待核对: canapeai
841,数量,cantitate,购物,,cantitAte,,名词 · 复数: cantități
842,特征,caracteristică,学习,,caracteristIcă,,名词 · 复数: caracteristice
843,收银员,casier,购物,,cAsier,,名词 · 复数待核对: casiere
844,茶壶,ceainic,家居,,ceainIc,,名词 · 复数待核对: ceainice
845,细胞,celulă,身体,,celUlă,,名词 · 复数: celule
846,腰带,centură,购物,,centUră,,名词 · 复数: centure
847,研究,cercetare,教育,,cercetAre,,名词 · 复数待核对: cercetari
848,墨水,cerneală,学习,,cernEAlă,,名词 · 复数待核对: cerneli
849,钥匙,cheie,家居,,chEIE,,名词 · 复数待核对: cheii
850,吉他手,chitarist,艺术,,chitArist,,名词 · 复数待核对: chitariste
851,收据,chitanță,购物,,chitAnță,,名词 · 复数: chitanțe
852,问卷,chestionar,学习,,chestionAr,,名词 · 复数待核对: chestionare
853,外科医生,chirurg,健康,,chIrurg,,名词 · 复数待核对: chirurge
854,数字,cifră,学习,,cIfră,,名词 · 复数: cifre
855,诚实,cinste,人际,,cInste,,名词 · 复数待核对: cinsti
856,樱桃,cireașă,饮食,,cirEAșă,,名词 · 复数: cireașe
857,读者,cititor,学习,,citItor,,名词 · 复数待核对: cititoare
858,理发店,coafor,城市,,coafOr,,名词 · 复数待核对: coafore
859,大腿,coapsă,身体,,cOApsă,,名词 · 复数: coapse
860,下降,coborâre,交通,,coborÂre,,名词 · 复数待核对: coborâri
861,代码,cod,科技,,cOd,,名词 · 复数待核对: code
862,合作,colaborare,职场,,colaborAre,,名词 · 复数待核对: colaborari
863,包裹,colet,购物,,cOlet,,名词 · 复数待核对: colete
864,柱子,coloană,城市,,colOAnă,,名词 · 复数: coloane
865,燃料,combustibil,交通,,combustIbil,,名词 · 复数待核对: combustibile
866,委员会,comisie,社会,,comIsie,,名词 · 复数待核对: comisii
867,同情,compasiune,情感,,compasIUne,,名词 · 复数: compasiuni
868,有能力的,competent,形容词,,competEnt,,形容词 · f: competentă · pl: competenți/ente
869,社区,comunitate,社会,,comunitAte,,名词 · 复数: comunități
870,音乐会,concert,艺术,,cOncert,,名词 · 复数待核对: concerte
871,比赛,concurs,教育,,cOncurs,,名词 · 复数待核对: concurse
872,条件,condiție,职场,,condIție,,名词 · 复数: condiții
873,冲突,conflict,社会,,cOnflict,,名词 · 复数待核对: conflicte
874,舒适,confort,家居,,cOnfort,,名词 · 复数待核对: conforte
875,同意,consimțământ,社会,,consimțĂmânt,,名词 · 复数待核对: consimțământe
876,建筑工程,construcție,城市,,constrUcție,,名词 · 复数: construcții
877,顾问,consultant,职场,,consultAnt,,名词 · 复数待核对: consultați
878,消费,consum,商业,,cOnsum,,名词 · 复数待核对: consume
879,联系,contact,人际,,cOntact,,名词 · 复数待核对: contacte
880,童年,copilărie,人际,,copilĂrie,,名词 · 复数待核对: copilării
881,腐败,corupție,社会,,corUpție,,名词 · 复数: corupții
882,领带,cravată,购物,,cravAtă,,名词 · 复数: cravate
883,乳霜,cremă,购物,,crEmă,,名词 · 复数: creme
884,托儿所,creșă,教育,,crEșă,,名词 · 复数: creșe
885,标准,criteriu,学习,,critEriu,,名词 · 复数待核对: criterii
886,裁缝,croitor,职场,,crOItor,,名词 · 复数待核对: croitoare
887,立方体,cub,学习,,cUb,,名词 · 复数待核对: cube
888,知识,cunoștințe,学习,,cunoștInțe,,名词 · 复数待核对: cunoștinți
889,清洁,curățenie,家居,,curățEnie,,名词 · 复数待核对: curățenii
890,好奇心,curiozitate,情感,,curiozitAte,,名词 · 复数: curiozități
891,学员,cursant,教育,,cursAnt,,名词 · 复数待核对: cursați
892,地震,cutremur,自然,,cutrEmur,,名词 · 复数待核对: cutremure
893,流量,debit,科技,,dEbit,,名词 · 复数待核对: debite
894,缺陷,defect,购物,,dEfect,,名词 · 复数待核对: defecte
895,代表,delegat,职场,,delEgat,,名词 · 复数待核对: delegate
896,尊严,demnitate,社会,,demnitAte,,名词 · 复数: demnități
897,仓库,depozit,商业,,depOzit,,名词 · 复数待核对: depozite
898,甜点,desert,饮食,,dEsert,,名词 · 复数待核对: deserte
899,目的地,destinație,旅行,,destinAție,,名词 · 复数: destinații
900,侦探,detectiv,社会,,detectIv,,名词 · 复数待核对: detective
901,灾难,dezastru,自然,,dezAstru,,名词 · 复数待核对: dezastruri
902,辩论,dezbatere,教育,,dezbatEre,,名词 · 复数待核对: dezbateri
903,发展,dezvoltare,社会,,dezvoltAre,,名词 · 复数待核对: dezvoltari
904,诊断,diagnostic,健康,,diagnostIc,,名词 · 复数待核对: diagnostice
905,扬声器,difuzor,科技,,difuzOr,,名词 · 复数待核对: difuzore
906,纪律,disciplină,教育,,disciplInă,,名词 · 复数: discipline
907,装置,dispozitiv,科技,,dispozitIv,,名词 · 复数待核对: dispozitive
908,多样性,diversitate,社会,,diversitAte,,名词 · 复数: diversități
909,利息,dobândă,金融,,dobÂndă,,名词 · 复数: dobânde
910,领域,domeniu,学习,,domEniu,,名词 · 复数待核对: domenii
911,捐赠,donație,社会,,donAție,,名词 · 复数: donații
912,愿望,dorință,情感,,dorInță,,名词 · 复数: dorințe
913,南瓜,dovleac,饮食,,dOvleac,,名词 · 复数待核对: dovleace
914,正义,dreptate,社会,,dreptAte,,名词 · 复数: dreptăți
915,淋浴,duș,家居,,dUș,,名词 · 复数待核对: dușe
916,一打,duzină,数量,,duzInă,,名词 · 复数: duzine
917,回声,ecou,自然,,Ecou,,名词 · 复数待核对: ecouri
918,出版社,editură,文化,,editUră,,名词 · 复数: editure
919,教育工作者,educator,教育,,educAtor,,名词 · 复数待核对: educatoare
920,效率,eficiență,职场,,eficIEnță,,名词 · 复数: eficiențe
921,平等,egalitate,社会,,egalitAte,,名词 · 复数: egalități
922,乘务组,echipaj,交通,,echIpaj,,名词 · 复数待核对: echipaje
923,装备,echipament,运动,,echipAment,,名词 · 复数: echipamente
924,屏幕,ecran,科技,,Ecran,,名词 · 复数待核对: ecrane
925,编辑,editor,职场,,edItor,,名词 · 复数待核对: editoare
926,情绪的,emoțional,形容词,,emoționAl,,形容词 · 形式待核对
927,热情,entuziasm,情感,,entUziasm,,名词 · 复数待核对: entuziasme
928,集,episod,艺术,,epIsod,,名词 · 复数待核对: episode
929,本质,esență,学习,,esEnță,,名词 · 复数: esențe
930,阶段,etapă,学习,,etApă,,名词 · 复数: etape
931,记录,evidență,职场,,evidEnță,,名词 · 复数: evidențe
932,例外,excepție,学习,,excEpție,,名词 · 复数: excepții
933,练习,exercițiu,运动,,exercIțiu,,名词 · 复数待核对: exerciții
934,要求,exigență,学习,,exigEnță,,名词 · 复数: exigențe
935,发货,expediere,购物,,expedIEre,,名词 · 复数待核对: expedieri
936,专家,expert,职场,,Expert,,名词 · 复数待核对: experte
937,瓷砖,faianță,家居,,fAIAnță,,名词 · 复数: faianțe
938,药剂师,farmacist,健康,,farmAcist,,名词 · 复数待核对: farmaciste
939,帮忙,favoare,人际,,favOAre,,名词 · 复数待核对: favoari
940,发烧,febră,健康,,fEbră,,名词 · 复数: febre
941,拉链,fermoar,购物,,fermOAr,,名词 · 复数待核对: fermoare
942,可靠性,fiabilitate,科技,,fiabilitAte,,名词 · 复数: fiabilități
943,纤维,fibra,健康,,fIbra,,名词 · 复数待核对: fibrai
944,小说类,ficțiune,艺术,,ficțIUne,,名词 · 复数: ficțiuni
945,过滤器,filtru,科技,,fIltru,,名词 · 复数待核对: filtruri
946,融资,finanțare,金融,,finanțAre,,名词 · 复数待核对: finanțari
947,公司,firmă,商业,,fIrmă,,名词 · 复数: firme
948,蝴蝶,fluture,自然,,flutUre,,名词 · 复数待核对: fluturi
949,纸张,foaie,学习,,fOAIE,,名词 · 复数待核对: foaii
950,用处,folos,日常,,folOs,,名词 · 复数待核对: folose
951,力量,forță,健康,,fOrță,,名词 · 复数: forțe
952,刹车,frână,交通,,frÂnă,,名词 · 复数: frâne
953,频率,frecvență,学习,,frecvEnță,,名词 · 复数: frecvențe
954,前线,front,社会,,frOnt,,名词 · 复数待核对: fronte
955,水果,fruct,饮食,,frUct,,名词 · 复数待核对: fructe
956,烟,fum,自然,,fUm,,名词 · 复数待核对: fume
957,背景,fundal,艺术,,fundAl,,名词 · 复数待核对: fundale
958,盗窃,furt,社会,,fUrt,,名词 · 复数待核对: furte
959,抵押,gaj,金融,,gAj,,名词 · 复数待核对: gaje
960,围栏,gard,家居,,gArd,,名词 · 复数待核对: garde
961,主人,gazdă,人际,,gAzdă,,名词 · 复数: gazde
962,一代,generație,社会,,generAție,,名词 · 复数: generații
963,地理,geografie,教育,,geogrAfie,,名词 · 复数待核对: geografii
964,地质,geologie,自然,,geolOgie,,名词 · 复数待核对: geologii
965,管理,gestionare,职场,,gestionAre,,名词 · 复数待核对: gestionari
966,谜语,ghicitoare,文化,,ghicitOAre,,名词 · 复数待核对: ghicitoari
967,窗口,ghișeu,城市,,ghIșeu,,名词 · 复数待核对: ghișeuri
968,荣耀,glorie,情感,,glOrie,,名词 · 复数待核对: glorii
969,空的,gol,形容词,,gOl,,形容词 · 形式待核对
970,家务,gospodărie,家居,,gospodĂrie,,名词 · 复数待核对: gospodării
971,程度,grad,学习,,grAd,,名词 · 复数待核对: grade
972,图表,grafic,学习,,grafIc,,名词 · 复数待核对: grafice
973,边境,graniță,地理,,granIță,,名词 · 复数: granițe
974,脂肪,grăsime,健康,,grăsIme,,名词 · 复数待核对: grăsimi
975,小麦,grâu,饮食,,grÂU,,名词 · 复数待核对: grâuri
976,错误,greșeală,学习,,greșEAlă,,名词 · 复数待核对: greșeli
977,小吃,gustare,饮食,,gustAre,,名词 · 复数待核对: gustari
978,长袍,halat,购物,,hAlat,,名词 · 复数待核对: halate
979,食物,hrană,饮食,,hrAnă,,名词 · 复数: hrane
980,身份,identitate,社会,,identitAte,,名词 · 复数: identități
981,卫生,igienă,健康,,igIEnă,,名词 · 复数: igiene
982,插图,ilustrație,艺术,,ilustrAție,,名词 · 复数: ilustrații
983,税款,impozit,金融,,impOzit,,名词 · 复数待核对: impozite
984,事件,incident,社会,,incidEnt,,名词 · 复数待核对: incidente
985,线索,indiciu,学习,,indIciu,,名词 · 复数待核对: indicii
986,通货膨胀,inflație,金融,,inflAție,,名词 · 复数: inflații
987,倡议,inițiativă,职场,,inițiatIvă,,名词 · 复数: inițiative
988,注射,injecție,健康,,injEcție,,名词 · 复数: injecții
989,创新,inovație,科技,,inovAție,,名词 · 复数: inovații
990,法庭,instanță,社会,,instAnță,,名词 · 复数: instanțe
991,机构,instituție,社会,,institUție,,名词 · 复数: instituții
992,智力,inteligență,学习,,inteligEnță,,名词 · 复数: inteligențe
993,禁令,interdicție,社会,,interdIcție,,名词 · 复数: interdicții
994,界面,interfață,科技,,interfAță,,名词 · 复数: interfațe
995,口译员,interpret,职场,,intErpret,,名词 · 复数待核对: interprete
996,隐私,intimitate,人际,,intimitAte,,名词 · 复数: intimități
997,假设,ipoteză,学习,,ipotEză,,名词 · 复数: ipoteze
998,历史,istorie,教育,,istOrie,,名词 · 复数待核对: istorii
999,隔离,izolare,健康,,izolAre,,名词 · 复数待核对: izolari
1000,贷款,împrumut,金融,,împrUmut,,名词 · 复数待核对: împrumute
1001,加热,încălzire,家居,,încălzIre,,名词 · 复数待核对: încălziri
1002,信任,încredere,人际,,încredEre,,名词 · 复数待核对: încrederi
1003,技巧,îndemânare,学习,,îndemânAre,,名词 · 复数待核对: îndemânari
1004,延误,întârziere,交通,,întârzIEre,,名词 · 复数待核对: întârzieri
1005,维护,întreținere,家居,,întreținEre,,名词 · 复数待核对: întrețineri
1006,悲痛,jale,情感,,jAle,,名词 · 复数待核对: jali
1007,百叶窗,jaluzea,家居,,jalUzea,,名词 · 复数待核对: jaluzeai
1008,炭火,jar,自然,,jAr,,名词 · 复数待核对: jare
1009,牛仔裤,jeans,购物,,jEAns,,名词 · 复数待核对: jeanse
1010,誓言,jurământ,社会,,jurĂmânt,,名词 · 复数待核对: jurământe
1011,司法,justiție,社会,,justIție,,名词 · 复数: justiții
1012,里程,kilometraj,交通,,kilomEtraj,,名词 · 复数待核对: kilometraje
1013,实验员,laborant,职场,,laborAnt,,名词 · 复数待核对: laborați
1014,挂锁,lacăt,家居,,lAcăt,,名词 · 复数待核对: lacăte
1015,雨夹雪,lapoviță,天气,,lapovIță,,名词 · 复数: lapovițe
1016,法规,legislație,社会,,legislAție,,名词 · 复数: legislații
1017,损伤,leziune,健康,,lezIUne,,名词 · 复数: leziuni
1018,拍卖,licitație,商业,,licitAție,,名词 · 复数: licitații
1019,领导者,lider,职场,,lIder,,名词 · 复数待核对: lidere
1020,语言表达,limbaj,学习,,lImbaj,,名词 · 复数待核对: limbaje
1021,液体,lichid,自然,,lIchid,,名词 · 复数待核对: lichide
1022,配送,livrare,购物,,livrAre,,名词 · 复数待核对: livrari
1023,逻辑,logică,学习,,logIcă,,名词 · 复数: logice
1024,忠诚,loialitate,人际,,loialitAte,,名词 · 复数: loialități
1025,彩票,loterie,金融,,lotErie,,名词 · 复数待核对: loterii
1026,起重机,macara,城市,,macAra,,名词 · 复数待核对: macarai
1027,磁铁,magnet,科技,,mAgnet,,名词 · 复数待核对: magnete
1028,多数,majoritate,社会,,majoritAte,,名词 · 复数: majorități
1029,任期,mandat,社会,,mAndat,,名词 · 复数待核对: mandate
1030,操作,manevră,交通,,manEvră,,名词 · 复数: manevre
1031,货物,marfă,商业,,mArfă,,名词 · 复数: marfe
1032,利润率,marjă,金融,,mArjă,,名词 · 复数: marje
1033,证词,mărturie,社会,,mărtUrie,,名词 · 复数待核对: mărturii
1034,丝绸,mătase,购物,,mătAse,,名词 · 复数待核对: mătasi
1035,药物,medicament,健康,,medicAment,,名词 · 复数: medicamente
1036,记忆,memorie,学习,,memOrie,,名词 · 复数待核对: memorii
1037,家务,menaj,家居,,mEnaj,,名词 · 复数待核对: menaje
1038,维护,mentenanță,科技,,mentenAnță,,名词 · 复数: mentenanțe
1039,雇佣兵,mercenar,社会,,mercenAr,,名词 · 复数待核对: mercenare
1040,功劳,merit,学习,,mErit,,名词 · 复数待核对: merite
1041,消息,mesaj,科技,,mEsaj,,名词 · 复数待核对: mesaje
1042,手艺,meșteșug,文化,,meștEșug,,名词 · 复数待核对: meșteșuge
1043,地铁,metrou,交通,,mEtrou,,名词 · 复数待核对: metrouri
1044,麦克风,microfon,科技,,micrOfon,,名词 · 复数待核对: microfone
1045,迁移,migrație,社会,,migrAție,,名词 · 复数: migrații
1046,百万,milioane,数量,,milIOAne,,名词 · 复数待核对: milioani
1047,谎言,minciună,人际,,mincIUnă,,名词 · 复数: minciune
1048,矿工,miner,职场,,mIner,,名词 · 复数待核对: minere
1049,奇迹,miracol,情感,,mirAcol,,名词 · 复数待核对: miracole
1050,任务,misiune,职场,,misIUne,,名词 · 复数: misiuni
1051,脏乱,mizerie,家居,,mizErie,,名词 · 复数待核对: mizerii
1052,家具,mobilier,家居,,mobIlier,,名词 · 复数待核对: mobiliere
1053,遗产,moștenire,社会,,moștenIre,,名词 · 复数待核对: moșteniri
1054,激励,motivare,职场,,motivAre,,名词 · 复数待核对: motivari
1055,人群,mulțime,社会,,mulțIme,,名词 · 复数待核对: mulțimi
1056,叙述,narațiune,艺术,,narațIUne,,名词 · 复数: narațiuni
1057,国家,națiune,社会,,națIUne,,名词 · 复数: națiuni
1058,谈判,negociere,商业,,negocIEre,,名词 · 复数待核对: negocieri
1059,神经,nerv,身体,,nErv,,名词 · 复数待核对: nerve
1060,通知,notificare,科技,,notificAre,,名词 · 复数待核对: notificari
1061,色调,nuanță,艺术,,nUAnță,,名词 · 复数: nuanțe
1062,目标,obiectiv,学习,,obiectIv,,名词 · 复数待核对: obiective
1063,义务,obligație,社会,,obligAție,,名词 · 复数: obligații
1064,观察,observație,学习,,observAție,,名词 · 复数: observații
1065,眼镜,ochelari,健康,,ochelAri,,名词 · 复数待核对: ochelarii
1066,官员,oficial,社会,,oficIAl,,名词 · 复数待核对: oficiale
1067,反映,oglindire,学习,,oglindIre,,名词 · 复数待核对: oglindiri
1068,操作员,operator,职场,,operAtor,,名词 · 复数待核对: operatoare
1069,选项,opțiune,科技,,opțIUne,,名词 · 复数: opțiuni
1070,小镇,orășel,城市,,orĂșel,,名词 · 复数待核对: orășele
1071,起源,origine,学习,,origIne,,名词 · 复数待核对: origini
1072,好客,ospitalitate,文化,,ospitalitAte,,名词 · 复数: ospitalități
1073,毒药,otravă,健康,,otrAvă,,名词 · 复数: otrave
1074,面包,pâine,饮食,,pÂIne,,名词 · 复数待核对: pâini
1075,宫殿,palat,城市,,pAlat,,名词 · 复数待核对: palate
1076,大衣,palton,购物,,pAlton,,名词 · 复数待核对: paltone
1077,面板,panou,科技,,pAnou,,名词 · 复数待核对: panouri
1078,段落,paragraf,学习,,parAgraf,,名词 · 复数待核对: paragrafe
1079,香水,parfum,购物,,pArfum,,名词 · 复数待核对: parfume
1080,伙伴,partener,人际,,partEner,,名词 · 复数待核对: partenere
1081,步骤,pas,学习,,pAs,,名词 · 复数待核对: pase
1082,遗产,patrimoniu,文化,,patrimOniu,,名词 · 复数待核对: patrimonii
1083,休息,pauză,日常,,pAUză,,名词 · 复数: pauze
1084,展馆,pavilion,城市,,pavIlion,,名词 · 复数待核对: pavilione
1085,窗帘,perdea,家居,,pErdea,,名词 · 复数待核对: perdeai
1086,表现,performanță,职场,,performAnță,,名词 · 复数: performanțe
1087,郊区,periferie,城市,,perifErie,,名词 · 复数待核对: periferii
1088,许可,permisie,社会,,permIsie,,名词 · 复数待核对: permisii
1089,视角,perspectivă,学习,,perspectIvă,,名词 · 复数: perspective
1090,渔民,pescar,职场,,pescAr,,名词 · 复数待核对: pescare
1091,花瓣,petală,自然,,petAlă,,名词 · 复数: petale
1092,市场,piață,购物,,pIAță,,名词 · 复数: piațe
1093,行人,pieton,交通,,pIEton,,名词 · 复数待核对: pietone
1094,飞行员们,piloți,交通,,pilOți,,名词 · 复数待核对: piloții
1095,信封,plic,人际,,plIc,,名词 · 复数待核对: plice
1096,雨,ploaie,天气,,plOAIE,,名词 · 复数待核对: ploaii
1097,桥,pod,城市,,pOd,,名词 · 复数待核对: pode
1098,警察,polițist,社会,,polIțist,,名词 · 复数待核对: polițiste
1099,消防员,pompier,职场,,pOmpier,,名词 · 复数待核对: pompiere
1100,人口,populație,社会,,populAție,,名词 · 复数: populații
1101,一份,porție,饮食,,pOrție,,名词 · 复数: porții
1102,港口,port,交通,,pOrt,,名词 · 复数待核对: porte
1103,橙子,portocală,饮食,,portocAlă,,名词 · 复数: portocale
1104,位置,poziție,方向,,pozIție,,名词 · 复数: poziții
1105,友谊,prietenie,人际,,prietEnie,,名词 · 复数待核对: prietenii
1106,样本,probă,学习,,prObă,,名词 · 复数: probe
1107,流程,procedură,职场,,procedUră,,名词 · 复数: procedure
1108,过程,proces,学习,,prOces,,名词 · 复数待核对: procese
1109,生产者,producător,商业,,producĂtor,,名词 · 复数待核对: producătoare
1110,教师,profesor,教育,,profesOr,,名词 · 复数待核对: profesore
1111,利润,profit,金融,,prOfit,,名词 · 复数待核对: profite
1112,承诺,promisiune,人际,,promisIUne,,名词 · 复数: promisiuni
1113,建议,propunere,职场,,propunEre,,名词 · 复数待核对: propuneri
1114,毛巾,prosop,家居,,prOsop,,名词 · 复数待核对: prosope
1115,公众,public,社会,,publIc,,名词 · 复数待核对: publice
1116,毛衣,pulover,购物,,pulOver,,名词 · 复数待核对: pulovere
1117,火箭,rachetă,科技,,rachEtă,,名词 · 复数: rachete
1118,雷达,radar,交通,,radAr,,名词 · 复数待核对: radare
1119,精致,rafinament,艺术,,rafinAment,,名词 · 复数: rafinamente
1120,树枝,ramură,自然,,ramUră,,名词 · 复数: ramure
1121,分期款,rată,金融,,rAtă,,名词 · 复数: rate
1122,感冒,răceală,健康,,răcEAlă,,名词 · 复数待核对: răceli
1123,评论,recenzie,艺术,,recEnzie,,名词 · 复数待核对: recenzii
1124,互惠,reciprocitate,人际,,reciprocitAte,,名词 · 复数: reciprocități
1125,奖励,recompensă,职场,,recompEnsă,,名词 · 复数: recompense
1126,招聘,recrutare,职场,,recrutAre,,名词 · 复数待核对: recrutari
1127,拒绝,refuz,人际,,rEfuz,,名词 · 复数待核对: refuze
1128,导演,regizor,艺术,,regizOr,,名词 · 复数待核对: regizore
1129,遗憾,regret,情感,,rEgret,,名词 · 复数待核对: regrete
1130,食谱,rețetă,烹饪,,rețEtă,,名词 · 复数: rețete
1131,油箱,rezervor,交通,,rezervOr,,名词 · 复数待核对: rezervore
1132,耐力,rezistență,健康,,rezistEnță,,名词 · 复数: rezistențe
1133,结实的,robust,形容词,,rObust,,形容词 · 形式待核对
1134,背包,rucsac,旅行,,rUcsac,,名词 · 复数待核对: rucsace
1135,工资,salariu,金融,,salAriu,,名词 · 复数待核对: salarii
1136,肥皂,săpun,购物,,sĂpun,,名词 · 复数待核对: săpune
1137,丑闻,scandal,社会,,scandAl,,名词 · 复数待核对: scandale
1138,楼梯,scară,城市,,scAră,,名词 · 复数: scare
1139,怀疑的,sceptic,形容词,,sceptIc,,形容词 · f: sceptică · pl: sceptici/ice
1140,草图,schiță,艺术,,schIță,,名词 · 复数: schițe
1141,作家,scriitor,艺术,,scrIItor,,名词 · 复数待核对: scriitoare
1142,捷径,scurtătură,交通,,scurtătUră,,名词 · 复数: scurtăture
1143,世纪,secol,时间,,sEcol,,副词 · 不变
1144,参议员,senator,社会,,senAtor,,名词 · 复数待核对: senatoare
1145,公文包,servietă,职场,,servIEtă,,名词 · 复数: serviete
1146,场次,sesiune,教育,,sesIUne,,名词 · 复数: sesiuni
1147,严厉的,sever,形容词,,sEver,,形容词 · 形式待核对
1148,结束,sfârșit,时间,,sfÂrșit,,副词 · 不变
1149,印章,sigiliu,职场,,sigIliu,,名词 · 复数待核对: sigilii
1150,轮廓,siluetă,艺术,,silUEtă,,名词 · 复数: siluete
1151,综合征,sindrom,健康,,sIndrom,,名词 · 复数待核对: sindrome
1152,孤独,singurătate,情感,,singurătAte,,名词 · 复数: singurătăți
1153,综合,sinteză,学习,,sintEză,,名词 · 复数: sinteze
1154,警笛,sirenă,城市,,sirEnă,,名词 · 复数: sirene
1155,虚弱,slăbiciune,健康,,slăbicIUne,,名词 · 复数: slăbiciuni
1156,工作,slujbă,职场,,slUjbă,,名词 · 复数: slujbe
1157,土壤,sol,自然,,sOl,,名词 · 复数待核对: sole
1158,余额,sold,金融,,sOld,,名词 · 复数待核对: solde
1159,调查,sondaj,社会,,sOndaj,,名词 · 复数待核对: sondaje
1160,空间,spațiu,城市,,spAțiu,,名词 · 复数待核对: spații
1161,背部,spate,身体,,spAte,,名词 · 复数待核对: spati
1162,专家,specialist,职场,,specIAlist,,名词 · 复数待核对: specialiste
1163,演出,spectacol,艺术,,spectAcol,,名词 · 复数待核对: spectacole
1164,住院,spitalizare,健康,,spitalizAre,,名词 · 复数待核对: spitalizari
1165,策略,strategie,职场,,stratEgie,,名词 · 复数待核对: strategii
1166,压力,stres,健康,,strEs,,名词 · 复数待核对: strese
1167,主题,subiect,学习,,sUbiect,,名词 · 复数待核对: subiecte
1168,地下室,subsol,家居,,sUbsol,,名词 · 复数待核对: subsole
1169,痛苦,suferință,情感,,suferInță,,名词 · 复数: suferințe
1170,建议,sugestie,人际,,sugEstie,,名词 · 复数待核对: sugestii
1171,监督,supraveghere,社会,,supraveghEre,,名词 · 复数待核对: supravegheri
1172,微笑,surâs,情感,,sUrâs,,名词 · 复数待核对: surâse
1173,螺丝,surub,家居,,sUrub,,名词 · 复数待核对: surube
1174,支持,susținere,人际,,susținEre,,名词 · 复数待核对: susțineri
1175,机会,șansă,人际,,șAnsă,,名词 · 复数: șanse
1176,会议,ședință,职场,,ședInță,,名词 · 复数: ședințe
1177,餐巾,șervețel,饮食,,șervEțel,,名词 · 复数待核对: șervețele
1178,司机,șofer,交通,,șOfer,,名词 · 复数待核对: șofere
1179,营地,tabără,旅行,,tabĂră,,名词 · 复数: tabăre
1180,战术,tactică,运动,,tactIcă,,名词 · 复数: tactice
1181,天赋,talent,艺术,,talEnt,,名词 · 复数待核对: talente
1182,天花板,tavan,家居,,tAvan,,名词 · 复数待核对: tavane
1183,切口,tăietură,健康,,tăietUră,,名词 · 复数: tăieture
1184,强度,tărie,学习,,tĂrie,,名词 · 复数待核对: tării
1185,一叠,teanc,学习,,tEAnc,,名词 · 复数待核对: teance
1186,灰泥,tencuială,家居,,tencUIAlă,,名词 · 复数: tencuiale
1187,理论,teorie,学习,,tEOrie,,名词 · 复数待核对: teorii
1188,治疗,terapie,健康,,terApie,,名词 · 复数待核对: terapii
1189,期限,termen,职场,,tErmen,,名词 · 复数待核对: termene
1190,恐怖主义,terorism,社会,,terOrism,,名词 · 复数待核对: terorisme
1191,宝库,tezaur,文化,,tEzaur,,名词 · 复数待核对: tezaure
1192,票券,tichet,交通,,tIchet,,名词 · 复数待核对: tichete
1193,老虎,tigru,自然,,tIgru,,名词 · 复数待核对: tigruri
1194,模板,tipar,学习,,tipAr,,名词 · 复数待核对: tipare
1195,发行量,tiraj,商业,,tIraj,,名词 · 复数待核对: tiraje
1196,炖菜,tocană,饮食,,tocAnă,,名词 · 复数: tocane
1197,垃圾桶,tomberon,城市,,tombEron,,名词 · 复数待核对: tomberone
1198,生活,trai,日常,,trAI,,名词 · 复数待核对: traii
1199,路线,traseu,交通,,trAseu,,名词 · 复数待核对: traseuri
1200,条约,tratat,社会,,trAtat,,名词 · 复数待核对: tratate
1201,看台,tribună,运动,,tribUnă,,名词 · 复数: tribune
1202,技巧,truc,学习,,trUc,,名词 · 复数待核对: truce
1203,身体,trup,身体,,trUp,,名词 · 复数待核对: trupe
1204,隧道,tunel,交通,,tUnel,,名词 · 复数待核对: tunele
1205,群,turmă,自然,,tUrmă,,名词 · 复数: turme
1206,学徒,ucenic,职场,,ucenIc,,名词 · 复数待核对: ucenice
1207,油,ulei,烹饪,,Ulei,,名词 · 复数待核对: uleii
1208,阴影,umbră,自然,,Umbră,,名词 · 复数: umbre
