Words missing example sentence (example_ro is empty)
Batch: 3
Rows: 500
Format: row|id|zh|ro|ipa|hint|cat|example_ro|example_zh
1292|4788|艺术复制品|reproducere a operei de artă|reproduCere a opErei de Artă|s.f.: reproduceri ale operelor de artă|Art||
1293|4789|理财|planificare financiară|planificAre financiAră|s.f.: planificări financiare|Daily Life||
1294|4790|储蓄账户|cont de economii|cOnt de economII|s.n.: conturi de economii|Daily Life||
1295|4791|信用卡|card de credit|cArd de credIt|s.n.: carduri de credit|Daily Life||
1296|4792|贷款|împrumut|împrumUt|s.n.: împrumuturi|Daily Life||
1297|4793|抵押贷款|credit ipotecar|crEdit ipotecAr|s.n.: credite ipotecare|Daily Life||
1298|4794|保险单|poliță de asigurare|polIță de asigurAre|s.f.: polițe de asigurare|Daily Life||
1299|4795|退休金|pensie|pEnsie|s.f.: pensii|Daily Life||
1300|4796|纳税申报|declarație fiscală|declarAție fiscAlă|s.f.: declarații fiscale|Daily Life||
1301|4797|水电费|factură de utilități|factUră de utilitĂți|s.f.: facturi de utilități|Daily Life||
1302|4798|网购|cumpărături online|cumpărătUri onlIne|s.f.pl.: cumpărături online|Daily Life||
1303|4799|快递|curierat|curierAt|s.n.: (fără plural)|Daily Life||
1304|4800|外卖|livrare la domiciliu|livrAre la domicIliu|s.f.: livrări la domiciliu|Daily Life||
1305|4801|健身房|sală de sport|sAlă de spOrt|s.f.: săli de sport|Daily Life||
1306|4802|瑜伽|yoga|yOga|s.f.: (fără plural)|Daily Life||
1307|4803|冥想练习|practică de meditație|prActică de meditAție|s.f.: practici de meditație|Daily Life||
1308|4804|心理咨询|consiliere psihologică|consiliEre psiholOgică|s.f.: consilieri psihologice|Daily Life||
1309|4805|社交媒体|rețele de socializare|rețEle de socializAre|s.f.pl.: rețele de socializare|Daily Life||
1310|4806|数字排毒|detox digital|detOx digitAl|s.n.: detoxuri digitale|Daily Life||
1311|4807|环保生活|stil de viață ecologic|stIl de viAță ecolOgic|s.n.: stiluri de viață ecologice|Daily Life||
1312|4808|素食主义|vegetarianism|vegetarianIsm|s.n.: (fără plural)|Daily Life||
1313|4809|纯素食主义|veganism|veganIsm|s.n.: (fără plural)|Daily Life||
1314|4810|可持续消费|consum durabil|consUm durAbil|s.n.: consumuri durabile|Daily Life||
1315|4811|共享出行|mobilitate partajată|mobilitAte partajAtă|s.f.: (fără plural)|Daily Life||
1316|4812|志愿服务|voluntariat|voluntariAt|s.n.: (fără plural)|Daily Life||
1317|4813|社区活动|activitate comunitară|activitAte comunitAră|s.f.: activități comunitare|Daily Life||
1318|4815|道|dao|dAo|s.n.: (fără plural)|Philosophy||
1319|4816|业|karma|kArma|s.f.: (fără plural)|Philosophy||
1320|4817|涅槃|nirvana|nirvAna|s.f.: (fără plural)|Philosophy||
1321|4818|轮回|reîncarnare|reîncarnAre|s.f.: reîncarnări|Philosophy||
1322|4819|禅|zen|zEn|s.n.: (fără plural)|Philosophy||
1323|4820|因果报应|retribuție|retribuțIe|s.f.: retribuții|Philosophy||
1324|4821|自然法则|lege naturală|lEge naturAlă|s.f.: legi naturale|Philosophy||
1325|4822|社会契约|contract social|contrAct sociAl|s.n.: contracte sociale|Philosophy||
1326|4823|天赋人权|drepturi naturale|drEpturi naturAle|s.n.pl.: drepturi naturale|Philosophy||
1327|4824|公共利益|bine comun|bIne comUn|s.n.: (fără plural)|Philosophy||
1328|4825|理念|idee|idEe|s.f.: idei|Philosophy||
1329|4826|范畴|categorie|categorIe|s.f.: categorii|Philosophy||
1330|4828|综合|sinteză|sIntEză|s.f.: sinteze|Philosophy||
1331|4829|正题|teză|tEză|s.f.: teze|Philosophy||
1332|4830|反题|antiteză|antitEză|s.f.: antiteze|Philosophy||
1333|4831|本体|substanță|substAnță|s.f.: substanțe|Philosophy||
1334|4832|属性|atribut|atribUt|s.n.: atribute|Philosophy||
1335|4833|关系|relație|relAție|s.f.: relații|Philosophy||
1336|4834|模态|modalitate|modalitAte|s.f.: modalități|Philosophy||
1337|4835|可能性|posibilitate|posibilitAte|s.f.: posibilități|Philosophy||
1338|4836|现实性|actualitate|actualitAte|s.f.: actualități|Philosophy||
1339|4837|潜能|potențial|potențiAl|s.n.: potențiale|Philosophy||
1340|4839|意图|intenție|intEnție|s.f.: intenții|Philosophy||
1341|4840|后果|consecință|consecInță|s.f.: consecințe|Philosophy||
1342|4841|义务|obligație|obligAție|s.f.: obligații|Philosophy||
1343|4843|责任|responsabilitate|responsabilitAte|s.f.: responsabilități|Philosophy||
1344|4844|公平|echitate|echitAte|s.f.: echități|Philosophy||
1345|4845|尊严|demnitate|demnItAte|s.f.: demnități|Philosophy||
1346|4846|同情|empatie|empAtIe|s.f.: empatii|Philosophy||
1347|4847|怜悯|compasiune|compAsiUne|s.f.: compasiuni|Philosophy||
1348|4848|慷慨|generozitate|generozitAte|s.f.: generozități|Philosophy||
1349|4849|勇气|curaj|curAj|s.n.: (fără plural)|Philosophy||
1350|4850|供给侧改革|reformă a ofertei|refOrmă a ofErtei|s.f.: reforme ale ofertei|Economics||
1351|4851|需求管理|gestionarea cererii|gestionArea cerErii|s.f.: (fără plural)|Economics||
1352|4852|价格机制|mecanism al prețurilor|mecanIsm al prețUrilor|s.n.: mecanisme ale prețurilor|Economics||
1353|4853|市场均衡|echilibru de piață|echilIbru de piAță|s.n.: echilibre de piață|Economics||
1354|4854|一般均衡|echilibru general|echilIbru generAl|s.n.: echilibre generale|Economics||
1355|4855|帕累托效率|eficiență Pareto|eficiEnță parEto|s.f.: (fără plural)|Economics||
1356|4856|科斯定理|teorema lui Coase|teorEma lui coAse|s.f.: (fără plural)|Economics||
1357|4857|凯恩斯主义|keynesianism|keynEsianIsm|s.n.: (fără plural)|Economics||
1358|4858|货币主义|monetarism|monetarIsm|s.n.: (fără plural)|Philosophy||
1359|4859|供给学派|teoria ofertei|teorIa ofErtei|s.f.: (fără plural)|Economics||
1360|4860|制度经济学|economie instituțională|economIe instituționAlă|s.f.: (fără plural)|Economics||
1361|4861|演化经济学|economie evolutivă|economIe evolutIvă|s.f.: (fără plural)|Economics||
1362|4862|复杂性经济学|economie complexă|economIe complexă|s.f.: (fără plural)|Economics||
1363|4863|后凯恩斯主义|post-keynesianism|post-keynEsianIsm|s.n.: (fără plural)|Economics||
1364|4864|奥地利经济学派|Școala austriacă de economie|șcOala austriacă de economIe|s.f.: (fără plural)|Economics||
1365|4865|芝加哥经济学派|Școala de la Chicago|șcOala de la chicAgo|s.f.: (fără plural)|Economics||
1366|4866|经济不平等|inegalitate economică|inegalitAte economică|s.f.: inegalități economice|Economics||
1367|4867|基尼系数|coeficientul Gini|coeficiEntul gIni|s.m.: (fără plural)|Economics||
1368|4868|人类发展指数|indicele dezvoltării umane|indicEle dezvoltării umAne|s.m.: (fără plural)|Economics||
1369|4869|幸福经济学|economia fericirii|economIa fericIrii|s.f.: (fără plural)|Economics||
1370|4870|稀缺性|raritate|raritAte|s.f.: rarități|Economics||
1371|4871|机会成本|cost de oportunitate|cOst de oportunitAte|s.n.: costuri de oportunitate|Economics||
1372|4872|沉没成本|cost irecuperabil|cOst irecuperAbil|s.n.: costuri irecuperabile|Economics||
1373|4873|边际成本|cost marginal|cOst marginAl|s.n.: costuri marginale|Economics||
1374|4874|交易成本|cost de tranzacție|cOst de tranzAcție|s.n.: costuri de tranzacție|Economics||
1375|4875|规模经济|economii de scară|economII de scAră|s.f.pl.: economii de scară|Economics||
1376|4876|范围经济|economii de gamă|economII de gAmă|s.f.pl.: economii de gamă|Economics||
1377|4877|网络效应|efect de rețea|efEct de rețeA|s.n.: efecte de rețea|Economics||
1378|4878|两面市场|piață cu două fețe|piAță cu dOuă fEțe|s.f.: piețe cu două fețe|Economics||
1379|4879|平台垄断|monopol de platformă|monopOl de platfOrmă|s.n.: monopoluri de platformă|Economics||
1380|4880|数据垄断|monopol al datelor|monopOl al dAtelor|s.n.: monopoluri ale datelor|Economics||
1381|4881|注意力经济|economia atenției|economIa atEnției|s.f.: (fără plural)|Economics||
1382|4882|劳动力市场|piața muncii|pIața mUncii|s.f.: (fără plural)|Economics||
1383|4883|人力资本|capital uman|capitAl umAn|s.n.: capitaluri umane|Economics||
1384|4884|社会资本|capital social|capitAl sociAl|s.n.: capitaluri sociale|Economics||
1385|4885|自然法|drept natural|drEpt naturAl|s.n.: (fără plural)|Law||
1386|4886|实证法|drept pozitiv|drEpt pozitIv|s.n.: (fără plural)|Law||
1387|4888|宗教法|drept canonic|drEpt canOnic|s.n.: (fără plural)|Law||
1388|4889|伊斯兰法|drept islamic|drEpt islAmic|s.n.: (fără plural)|Law||
1389|4890|罗马法|drept roman|drEpt romAn|s.n.: (fără plural)|Law||
1390|4891|普通法系|sistem de common law|sistEm de cOmmon lAw|s.n.: sisteme de common law|Law||
1391|4892|大陆法系|sistem de drept continental|sistEm de drEpt continentAl|s.n.: sisteme de drept continental|Law||
1392|4893|混合法系|sistem juridic mixt|sistEm juridIc mIxt|s.n.: sisteme juridice mixte|Law||
1393|4894|法律渊源|izvor de drept|izvOr de drEpt|s.n.: izvoare de drept|Law||
1394|4895|法律规范|normă juridică|nOrmă juridică|s.f.: norme juridice|Law||
1395|4896|法律关系|raport juridic|rapOrt juridIc|s.n.: raporturi juridice|Law||
1396|4897|法律事实|fapt juridic|fApt juridIc|s.n.: fapte juridice|Law||
1397|4898|法律能力|capacitate juridică|capacitAte juridică|s.f.: capacități juridice|Law||
1398|4899|法律行为|act juridic|Act juridIc|s.n.: acte juridice|Law||
1399|4900|法律责任|răspundere juridică|răspUndere juridică|s.f.: răspunderi juridice|Law||
1400|4901|过失|culpă|cUlpă|s.f.: culpe|Law||
1401|4903|因果关系|legătură de cauzalitate|legătUră de cauzalitAte|s.f.: legături de cauzalitate|Law||
1402|4906|撤销|anulare|anulAre|s.f.: anulări|Law||
1403|4907|无效|nulitate|nulitAte|s.f.: nulități|Law||
1404|4908|可撤销|anulabilitate|anulabilitAte|s.f.: anulabilități|Law||
1405|4909|时效|prescripție|prescripție|s.f.: prescripții|Law||
1406|4910|善意|bună-credință|bUnă-credInță|s.f.: (fără plural)|Law||
1407|4911|恶意|rea-credință|rEa-credInță|s.f.: (fără plural)|Law||
1408|4912|举证责任|sarcina probei|sArcina probEi|s.f.: (fără plural)|Law||
1409|4913|无罪推定|prezumție de nevinovăție|prezUmție de nevinovățIe|s.f.: prezumții de nevinovăție|Law||
1410|4914|双重危险|non bis in idem|nOn bIs in idEm|loc. lat.: (invariabil)|Law||
1411|4915|正当程序|procedură echitabilă|procedUră echitAbilă|s.f.: proceduri echitabile|Law||
1412|4916|平等保护|protecție egală|protEcție egAlă|s.f.: (fără plural)|Law||
1413|4917|言论自由|libertate de exprimare|libertAte de exprimAre|s.f.: libertăți de exprimare|Law||
1414|4918|集会自由|libertate de întrunire|libertAte de întrunIre|s.f.: libertăți de întrunire|Law||
1415|4919|隐私权|drept la viață privată|drEpt la viAță privAtă|s.n.: (fără plural)|Law||
1416|4921|行为主义|behaviorism|behaviorIsm|s.n.: (fără plural)|Education||
1417|4922|认知主义|cognitivism|cognitivIsm|s.n.: (fără plural)|Education||
1418|4923|人本主义教育|educație umanistă|educAție umanIstă|s.f.: educații umaniste|Education||
1419|4924|进步主义教育|educație progresistă|educAție progresIstă|s.f.: educații progresiste|Education||
1420|4925|传统教育|educație tradițională|educAție tradițională|s.f.: educații tradiționale|Education||
1421|4926|精英教育|educație elitistă|educAție elitIstă|s.f.: educații elitiste|Education||
1422|4927|大众教育|educație de masă|educAție de mAsă|s.f.: (fără plural)|Education||
1423|4928|宗教教育|educație religioasă|educAție religiOasă|s.f.: educații religioase|Education||
1424|4929|世俗教育|educație laică|educAție laică|s.f.: educații laice|Education||
1425|4930|道德教育|educație morală|educAție morAlă|s.f.: educații morale|Education||
1426|4931|公民教育|educație civică|educAție civică|s.f.: educații civice|Education||
1427|4932|环境教育|educație ecologică|educAție ecolOgică|s.f.: educații ecologice|Education||
1428|4933|和平教育|educație pentru pace|educAție pentru pAce|s.f.: educații pentru pace|Education||
1429|4934|人权教育|educație în domeniul drepturilor omului|educAție în domEniul drEpturilor Omului|s.f.: (fără plural)|Education||
1430|4935|性教育|educație sexuală|educAție sexuAlă|s.f.: educații sexuale|Education||
1431|4936|财经素养教育|educație financiară|educAție financiAră|s.f.: educații financiare|Education||
1432|4938|体育教育|educație fizică|educAție fIzică|s.f.: educații fizice|Education||
1433|4939|STEM教育|educație STEM|educAție stEm|s.f.: (fără plural)|Education||
1434|4940|STEAM教育|educație STEAM|educAție stEam|s.f.: (fără plural)|Education||
1435|4941|编程教育|educație în programare|educAție în programAre|s.f.: educații în programare|Education||
1436|4942|机器人教育|educație prin robotică|educAție prIn robOtică|s.f.: educații prin robotică|Education||
1437|4943|创客教育|educație maker|educAție mAker|s.f.: educații maker|Education||
1438|4944|设计思维教育|educație prin design thinking|educAție prIn desIgn thInking|s.f.: (fără plural)|Education||
1439|4946|微课|microlecție|microlEcție|s.f.: microlecții|Education||
1440|4947|慕课|curs online deschis|cUrs onlIne deschIs|s.n.: cursuri online deschise|Education||
1441|4948|教育大数据|date masive în educație|dAte masIve în educAție|s.f.pl.: (fără plural)|Education||
1442|4949|自适应学习|învățare adaptivă|învățAre adaptIvă|s.f.: (fără plural)|Education||
1443|4950|人工智能教育|educație cu inteligență artificială|educAție cu inteligEnță artificIAlă|s.f.: (fără plural)|Education||
1444|4951|虚拟现实教育|educație prin realitate virtuală|educAție prIn realitAte virtuAlă|s.f.: (fără plural)|Education||
1445|4952|增强现实教育|educație prin realitate augmentată|educAție prIn realitAte augmentAtă|s.f.: (fără plural)|Education||
1446|4953|游戏化教育|educație gamificată|educAție gamificAtă|s.f.: educații gamificate|Education||
1447|4954|教育神经科学|neuroștiința educației|neuroștiInța educației|s.f.: (fără plural)|Education||
1448|4955|诗集|volum de poezii|vOlum de poEzii|s.n.: volume de poezii|Literature||
1449|4956|短篇小说集|volum de nuvele|vOlum de nUvele|s.n.: volume de nuvele|Literature||
1450|4957|长篇小说|roman amplu|romAn Amplu|s.n.: romane ample|Literature||
1451|4958|三部曲|trilogie|trilogIe|s.f.: trilogii|Literature||
1452|4959|系列丛书|serie de cărți|sErie de cĂrți|s.f.: serii de cărți|Literature||
1453|4960|百科全书|enciclopedie|enciclopedIe|s.f.: enciclopedii|Literature||
1454|4961|词典|dicționar|dicționAr|s.n.: dicționare|Literature||
1455|4962|语法书|gramatică|gramAtică|s.f.: gramatici|Literature||
1456|4964|参考书|carte de referință|cArte de referInță|s.f.: cărți de referință|Literature||
1457|4965|注释本|ediție adnotată|edIție adnotAtă|s.f.: ediții adnotate|Literature||
1458|4967|序文|prolegomene|prolegomEne|s.n.pl.: prolegomene|Literature||
1459|4968|跋文|epilog|epilOg|s.n.: epiloguri|Literature||
1460|4969|注脚|notă de subsol|nOtă de subsOl|s.f.: note de subsol|Literature||
1461|4970|参考文献|bibliografie|bibliografIe|s.f.: bibliografii|Literature||
1462|4971|引文|citat|citAt|s.n.: citate|Literature||
1463|4972|改编|adaptare|adaptAre|s.f.: adaptări|Literature||
1464|4973|戏剧改编|dramatizare|dramatizAre|s.f.: dramatizări|Literature||
1465|4974|影视改编|ecranizare|ecranizAre|s.f.: ecranizări|Literature||
1466|4975|再创作|rescriere|rescriEre|s.f.: rescrieri|Literature||
1467|4976|仿作|pastișă|pastIșă|s.f.: pastișe|Literature||
1468|4977|戏仿|parodie|parodIe|s.f.: parodii|Literature||
1469|4978|致敬|omagiu|omAgiu|s.n.: omagii|Literature||
1470|4979|文学影响|influență literară|influEnță literAră|s.f.: influențe literare|Literature||
1471|4980|文学传统|tradiție literară|tradIție literAră|s.f.: tradiții literare|Literature||
1472|4981|文学革新|inovație literară|inovAție literAră|s.f.: inovații literare|Literature||
1473|4982|文学周期|perioadă literară|periOadă literAră|s.f.: perioade literare|Literature||
1474|4983|经典化|canonizare|canonizAre|s.f.: canonizări|Literature||
1475|4984|文学正典|canon literar|cAnon literAr|s.n.: canoane literare|Literature||
1476|4985|文学边缘化|marginalizare literară|marginalizAre literAră|s.f.: marginalizări literare|Literature||
1477|4986|反文化叙事|narațiune contracanonică|narațiUne contracanonică|s.f.: narațiuni canonice|Literature||
1478|4987|口头传统|tradiție orală|tradIție orAlă|s.f.: tradiții orale|Literature||
1479|4988|表演文学|literatură performativă|literAtură performatIvă|s.f.: literaturi performative|Literature||
1480|4989|数字文学|literatură digitală|literAtură digitAlă|s.f.: literaturi digitale|Literature||
1481|4990|史学方法|metodologie istorică|metodologIe istOrică|s.f.: metodologii istorice|History||
1482|4991|历史哲学|filozofia istoriei|filozofIa istOriei|s.f.: (fără plural)|History||
1483|4992|史料学|heuristică istorică|heuristică istOrică|s.f.: (fără plural)|History||
1484|4993|历史诠释|interpretare istorică|interpretAre istOrică|s.f.: interpretări istorice|History||
1485|4994|历史叙事|narațiune istorică|narațiUne istOrică|s.f.: narațiuni istorice|History||
1486|4995|历史记忆|memorie istorică|memOrIe istOrică|s.f.: memorii istorice|History||
1487|4996|历史遗忘|uitare istorică|uitAre istOrică|s.f.: (fără plural)|History||
1488|4997|集体记忆|memorie colectivă|memOrIe colectIvă|s.f.: memorii colective|History||
1489|4998|历史创伤|traumă istorică|trAumă istOrică|s.f.: traume istorice|History||
1490|4999|历史和解|reconciliere istorică|reconciliEre istOrică|s.f.: reconcilieri istorice|History||
1491|5000|历史正义|dreptate istorică|dreptAte istOrică|s.f.: dreptăți istorice|History||
1492|5001|转型正义|justiție tranzițională|justIție tranzițională|s.f.: (fără plural)|History||
1493|5002|历史博物馆|muzeu de istorie|muzEu de istOrie|s.n.: muzee de istorie|History||
1494|5003|历史遗址|sit istoric|sIt istOric|s.n.: situri istorice|History||
1495|5004|历史文物|artefact istoric|artefAct istOric|s.n.: artefacte istorice|History||
1496|5005|历史档案馆|arhivă istorică|ArhIvă istOrică|s.f.: arhive istorice|History||
1497|5006|历史地图|hartă istorică|hArtă istOrică|s.f.: hărți istorice|History||
1498|5007|历史人口学|demografie istorică|demografIe istOrică|s.f.: demografii istorice|History||
1499|5008|社会史|istorie socială|istOrie socIAlă|s.f.: istorii sociale|History||
1500|5009|经济史|istorie economică|istOrie economică|s.f.: istorii economice|History||
