Words missing example sentence (example_ro is empty)
Batch: 5
Rows: 500
Format: row|id|zh|ro|ipa|hint|cat|example_ro|example_zh
2342|6287|蒸发|a se evapora|a se evaporA|verb: conj. I (mă evapor/te evapori/se evaporă)|Science||
2343|6288|燃烧|a arde|a Arde|verb: conj. III (ard/arzi/arde)|Science||
2344|6289|混合|a amesteca|a amestecA|verb: conj. I (amestec/amesteci/amestecă)|Science||
2345|6290|分离|a separa|a separA|verb: conj. I (separ/separi/separă)|Science||
2346|6291|溶解|a dizolva|a dizolvA|verb: conj. I (dizolv/dizolvi/dizolvă)|Science||
2347|6292|重量|greutate|greutAte|s.f.: greutăți|Science||
2348|6293|体积|volum|volUm|s.n.: volume|Science||
2349|6294|面积|suprafață|suprafAță|s.f.: suprafețe|Science||
2350|6295|长度|lungime|lungIme|s.f.: lungimi|Science||
2351|6296|宽度|lățime|lățIme|s.f.: lățimi|Science||
2352|6297|打开|a deschide|a deschIde|verb: conj. III (deschid/deschizi/deschide)|Engineering||
2353|6298|关闭|a închide|a închIde|verb: conj. III (închid/închizi/închide)|Engineering||
2354|6299|修理|a repara|a reparA|verb: conj. I (repar/repari/repară)|Engineering||
2355|6300|安装|a instala|a instalA|verb: conj. I (instalez/instalezi/instalează)|Engineering||
2356|6301|拆除|a demonta|a demontA|verb: conj. I (demontez/demontezi/demontează)|Engineering||
2357|6302|建造|a construi|a construI|verb: conj. IV (construiesc/construiești/construiește)|Engineering||
2358|6303|拆毁|a demola|a demolA|verb: conj. I (demolez/demolezi/demolează)|Engineering||
2359|6304|维修|a întreține|a întrețIne|verb: conj. III (întrețin/întrețini/întreține)|Engineering||
2360|6305|连接|a conecta|a conectA|verb: conj. I (conectez/conectezi/conectează)|Engineering||
2361|6306|断开|a deconecta|a deconectA|verb: conj. I (deconectez/deconectezi/deconectează)|Engineering||
2362|6307|充电|a încărca|a încărcA|verb: conj. I (încarc/încarci/încarcă)|Engineering||
2363|6309|开机|a porni|a pornI|verb: conj. IV (pornesc/pornești/pornește)|Engineering||
2364|6310|更新|a actualiza|a actualizA|verb: conj. I (actualizez/actualizezi/actualizează)|Engineering||
2365|6311|下载|a descărca|a descărcA|verb: conj. I (descarc/descarci/descarcă)|Engineering||
2366|6312|浇花|a uda florile|a udA flOrile|verb: conj. I (ud/uzi/udă)|Agriculture||
2367|6313|种花|a planta flori|a plantA flOri|verb: conj. I (plantez/plantezi/plantează)|Agriculture||
2368|6314|除草|a plivit|a plIvit|verb: conj. IV (plivesc/plivești/plivește)|Agriculture||
2369|6315|施肥|a îngrășa|a îngrășA|verb: conj. I (îngras/îngrași/îngrașă)|Agriculture||
2370|6317|喂鸡|a hrăni găinile|a hrănI găInile|verb: conj. IV (hrănesc/hrănești/hrănește)|Agriculture||
2371|6318|挤牛奶|a mulge vaca|a mUlge vAca|verb: conj. III (mulg/mulgi/mulge)|Agriculture||
2372|6319|种树|a planta copaci|a plantA copAci|verb: conj. I (plantez/plantezi/plantează)|Agriculture||
2373|6320|摘果子|a culege fructe|a culEge frUcte|verb: conj. III (culeg/culegi/culege)|Agriculture||
2374|6321|翻土|a ara|a arA|verb: conj. I (ar/ari/ară)|Agriculture||
2375|6322|菜地|grădină de zarzavaturi|grădInă de zarzavAtUri|s.f.: grădini de zarzavaturi|Agriculture||
2376|6325|农场主|fermier|fermiEr|s.m.: fermieri|Agriculture||
2377|6326|庄稼|cultură agricolă|cultUră agrIcolă|s.f.: culturi agricole|Agriculture||
2378|6327|医生问诊|consultație medicală|consultAție medicAlă|s.f.: consultații medicale|Medicine||
2379|6328|血压|tensiune arterială|tensiUne arterIAlă|s.f.: tensiuni arteriale|Medicine||
2380|6329|心跳|bătăi ale inimii|bătAi ale inImii|s.f.pl.: bătăi ale inimii|Medicine||
2381|6330|呼吸|respirație|respirAție|s.f.: respirații|Medicine||
2382|6331|测量血压|a măsura tensiunea|a măsurA tensiUnea|verb: conj. I (măsor/măsori/măsoară)|Medicine||
2383|6332|听诊|a asculta cu stetoscopul|a ascultA cu stetoscOpul|verb: conj. I (ascult/asculți/ascultă)|Medicine||
2384|6333|开药方|a prescrie|a prescriE|verb: conj. III (prescriu/prescrii/prescrie)|Medicine||
2385|6334|打石膏|a pune ghips|a pUne ghIps|verb: conj. III (pun/pui/pune)|Medicine||
2386|6335|住院|a fi internat|a fI internAt|verb: conj. nreg. (sunt/ești/este internat)|Medicine||
2387|6336|出院|a fi externat|a fI externAt|verb: conj. nreg. (sunt/ești/este externat)|Medicine||
2388|6337|挂号|a face o programare|a fAce o programAre|verb: conj. III (fac/faci/face)|Medicine||
2389|6338|看急诊|a merge la urgențe|a mErge la urgEnțe|verb: conj. III (merg/mergi/merge)|Medicine||
2390|6339|过敏测试|test alergologic|tEst alergologIc|s.n.: teste alergologice|Medicine||
2391|6341|化验单|buletin de analize|buletIn de analIze|s.n.: buletine de analize|Medicine||
2392|6342|保卫祖国|a apăra patria|a apărA pAtria|verb: conj. I (apăr/aperi/apără)|Military Science||
2393|6344|服兵役|a satisface stagiul militar|a satisfAce stAgiul militAr|verb: conj. III (satisfac/satisfaci/satisface)|Military Science||
2394|6345|站岗|a sta de gardă|a stA de gArdă|verb: conj. I (stau/stai/stă)|Military Science||
2395|6346|巡逻|a patrula|a patrulA|verb: conj. I (patrulez/patrulezi/patrulează)|Military Science||
2396|6348|敬礼|a saluta militar|a salutA militAr|verb: conj. I (salut/saluți/salută)|Military Science||
2397|6349|阵地|poziție|pozIție|s.f.: poziții|Military Science||
2398|6350|前线|linie de front|lInie de frOnt|s.f.: linii de front|Military Science||
2399|6351|后方|spatele frontului|spAtele frOntului|s.n.: (fără plural)|Military Science||
2400|6352|战场|câmp de bătălie|cÂmp de bătAlIe|s.n.: câmpuri de bătălie|Military Science||
2401|6353|碉堡|buncăr|bUncăr|s.n.: buncăre|Military Science||
2402|6354|壕沟|șanț|șAnț|s.n.: șanțuri|Military Science||
2403|6355|铁丝网|sârmă ghimpată|sÂrmă ghimpAtă|s.f.: sârme ghimpate|Military Science||
2404|6356|军事地图|hartă militară|hArtă militAră|s.f.: hărți militare|Military Science||
2405|6357|招聘|a recruta|a recrutA|verb: conj. I (recrutez/recrutezi/recrutează)|Management||
2406|6358|培训|a instrui|a instruI|verb: conj. IV (instruiesc/instruiești/instruiește)|Management||
2407|6359|评估员工|a evalua angajații|a evaluA angajAții|verb: conj. I (evaluez/evaluezi/evaluează)|Management||
2408|6360|解雇|a concedia|a concediA|verb: conj. I (concediez/concediezi/concediază)|Management||
2409|6361|开会|a face o ședință|a fAce o ședInță|verb: conj. III (fac/faci/face)|Management||
2410|6362|做报告|a face un raport|a fAce un rapOrt|verb: conj. III (fac/faci/face)|Management||
2411|6363|分配任务|a distribui sarcini|a distribuI sArcini|verb: conj. IV (distribuiesc/distribuiești/distribuiește)|Management||
2412|6364|检查工作|a verifica munca|a verificA mUnca|verb: conj. I (verific/verifici/verifică)|Management||
2413|6365|设定目标|a stabili obiective|a stabilI obiectIve|verb: conj. IV (stabilesc/stabilești/stabilește)|Management||
2414|6366|监督|a superviza|a supervizA|verb: conj. I (supervizez/supervizezi/supervizează)|Management||
2415|6367|协调|a coordona|a coordonA|verb: conj. I (coordonez/coordonezi/coordonează)|Management||
2416|6368|激励员工|a motiva angajații|a motivA angajAții|verb: conj. I (motivez/motivezi/motivează)|Management||
2417|6369|表彰|a recompensa|a recompensA|verb: conj. I (recompensez/recompensezi/recompensează)|Management||
2418|6370|批评|a critica|a criticA|verb: conj. I (critic/critici/critică)|Management||
2419|6371|改进|a îmbunătăți|a îmbunătățI|verb: conj. IV (îmbunătățesc/îmbunătățești/îmbunătățește)|Management||
2420|6372|画一幅画|a picta un tablou|a pictA un tablOu|verb: conj. I (pictez/pictezi/pictează)|Art||
2421|6373|拍一张照|a face o fotografie|a fAce o fotografIe|verb: conj. III (fac/faci/face)|Art||
2422|6374|写一首诗|a scrie o poezie|a scrIe o poEzie|verb: conj. III (scriu/scrii/scrie)|Art||
2423|6375|唱一首歌|a cânta un cântec|a cântA un cÂntec|verb: conj. I (cânt/cânți/cântă)|Art||
2424|6376|演奏乐器|a cânta la un instrument|a cântA la un instrumEnt|verb: conj. I (cânt/cânți/cântă)|Art||
2425|6377|跳一支舞|a dansa un dans|a dansA un dAns|verb: conj. I (dansez/dansezi/dansează)|Art||
2426|6378|演一个角色|a juca un rol|a jucA un rOl|verb: conj. I (joc/joci/joacă)|Art||
2427|6379|导演一部电影|a regiza un film|a regizA un fIlm|verb: conj. I (regizez/regizezi/regizează)|Art||
2428|6380|展览作品|a expune lucrări|a expUne lucrĂri|verb: conj. III (expun/expui/expune)|Art||
2429|6381|欣赏艺术|a aprecia arta|a apreciA Arta|verb: conj. I (apreciez/apreciezi/apreciază)|Art||
2430|6382|收藏艺术品|a colecționa obiecte de artă|a colecționA obIecte de Artă|verb: conj. I (colecționez/colecționezi/colecționează)|Art||
2431|6383|批评艺术|a critica arta|a criticA Arta|verb: conj. I (critic/critici/critică)|Art||
2432|6384|创作音乐|a compune muzică|a compUne mUzică|verb: conj. III (compun/compui/compune)|Art||
2433|6385|表演节目|a prezenta un spectacol|a prezentA un spectacOl|verb: conj. I (prezint/prezinți/prezintă)|Art||
2434|6386|参观博物馆|a vizita un muzeu|a vizitA un muzEu|verb: conj. I (vizitez/vizitezi/vizitează)|Art||
2435|6387|去购物|a merge la cumpărături|a mErge la cumpărătUri|verb: conj. III (merg/mergi/merge)|Daily Life||
2436|6388|去餐厅|a merge la restaurant|a mErge la restaurAnt|verb: conj. III (merg/mergi/merge)|Daily Life||
2437|6389|点菜|a comanda mâncare|a comandA mâncAre|verb: conj. I (comand/comanzi/comandă)|Daily Life||
2438|6390|结账|a cere nota de plată|a cEre nOta de plAtă|verb: conj. III (cer/ceri/cere)|Daily Life||
2439|6391|给小费|a lăsa bacșiș|a lăsA bacșIș|verb: conj. I (las/lași/lasă)|Daily Life||
2440|6392|预订餐厅|a rezerva la restaurant|a rezervA la restaurAnt|verb: conj. I (rezerv/rezervi/rezervă)|Daily Life||
2441|6393|打包带走|a lua la pachet|a luA la pachEt|verb: conj. I (iau/iei/ia)|Daily Life||
2442|6394|去银行|a merge la bancă|a mErge la bAncă|verb: conj. III (merg/mergi/merge)|Daily Life||
2443|6395|取款|a retrage bani|a retrAge bAni|verb: conj. III (retrag/retragi/retrage)|Daily Life||
2444|6396|存款|a depune bani|a depUne bAni|verb: conj. III (depun/depui/depune)|Daily Life||
2445|6397|换外币|a schimba valută|a schimbA valUtă|verb: conj. I (schimb/schimbi/schimbă)|Daily Life||
2446|6398|寄包裹|a trimite un colet|a trimIte un colEt|verb: conj. III (trimit/trimiți/trimite)|Daily Life||
2447|6399|收包裹|a primi un colet|a primI un colEt|verb: conj. IV (primesc/primești/primește)|Daily Life||
2448|6400|买票|a cumpăra un bilet|a cumpărA un bilEt|verb: conj. I (cumpăr/cumperi/cumpără)|Daily Life||
2449|6401|检票|a verifica biletul|a verificA bilEtul|verb: conj. I (verific/verifici/verifică)|Daily Life||
2450|6402|赶公交|a prinde autobuzul|a prInde autobUzul|verb: conj. III (prind/prinzi/prinde)|Daily Life||
2451|6404|找停车位|a găsi un loc de parcare|a găsI un lOc de parcAre|verb: conj. IV (găsesc/găsești/găsește)|Daily Life||
2452|6405|加油|a face plinul|a fAce plInul|verb: conj. III (fac/faci/face)|Daily Life||
2453|6406|洗车|a spăla mașina|a spălA mașIna|verb: conj. I (spăl/speli/spală)|Daily Life||
2454|6407|修车|a repara mașina|a reparA mașIna|verb: conj. I (repar/repari/repară)|Daily Life||
2455|6408|租车|a închiria o mașină|a închiriA o mașInă|verb: conj. I (închiriez/închiriezi/închiriază)|Daily Life||
2456|6409|打出租车|a lua un taxi|a luA un tAxi|verb: conj. I (iau/iei/ia)|Daily Life||
2457|6410|叫外卖|a comanda mâncare la domiciliu|a comandA mâncAre la domicIliu|verb: conj. I (comand/comanzi/comandă)|Daily Life||
2458|6411|网上购物|a cumpăra online|a cumpărA onlIne|verb: conj. I (cumpăr/cumperi/cumpără)|Daily Life||
2459|6412|退货|a returna un produs|a returnA un prodUs|verb: conj. I (returnez/returnezi/returnează)|Daily Life||
2460|6413|投诉|a face o reclamație|a fAce o reclamAție|verb: conj. III (fac/faci/face)|Daily Life||
2461|6414|换货|a face un schimb|a fAce un schImb|verb: conj. III (fac/faci/face)|Daily Life||
2462|6416|取消预约|a anula o programare|a anulA o programAre|verb: conj. I (anulez/anulezi/anulează)|Daily Life||
2463|6418|感觉|sentiment|sentimEnt|s.n.: sentimente|Philosophy||
2464|6419|情绪|emoție|emOție|s.f.: emoții|Philosophy||
2465|6420|快乐|bucurie|bucurIe|s.f.: bucurii|Philosophy||
2466|6421|悲伤|tristețe|tristEțe|s.f.: (fără plural)|Philosophy||
2467|6422|愤怒|furie|furIe|s.f.: furii|Philosophy||
2468|6423|平静|liniște|lInIște|s.f.: (fără plural)|Philosophy||
2469|6425|满足|mulțumire|mulțumIre|s.f.: (fără plural)|Philosophy||
2470|6426|失望|dezamăgire|dezamăgIre|s.f.: dezamăgiri|Philosophy||
2471|6428|羞耻感|rușine|rușIne|s.f.: (fără plural)|Philosophy||
2472|6429|嫉妒感|gelozie|gelozIe|s.f.: gelozii|Philosophy||
2473|6430|孤独感|singurătate|singurătAte|s.f.: (fără plural)|Philosophy||
2474|6431|安全感|siguranță|siguRAnță|s.f.: siguranțe|Philosophy||
2475|6432|归属感|sentiment de apartenență|sentimEnt de apartenEnță|s.n.: sentimente de apartenență|Philosophy||
2476|6433|餐厅服务员|chelner|chElner|s.m.: chelneri|Economics||
2477|6434|邮递员|poștas|poștAș|s.m.: poștași|Economics||
2478|6435|清洁工|curățitor|curățitOr|s.m.: curățitori|Economics||
2479|6436|保安|paznic|pAznic|s.m.: paznici|Economics||
2480|6437|向导|ghid|ghId|s.m.: ghizi|Economics||
2481|6438|翻译员|traducător|traducătOr|s.m.: traducători|Economics||
2482|6439|摄影师|fotograf|fotogRAf|s.m.: fotografi|Economics||
2483|6440|记者|jurnalist|jurnalIst|s.m.: jurnaliști|Economics||
2484|6442|音乐家|muzician|muziciAn|s.m.: muzicieni|Economics||
2485|6444|作家|scriitor|scriitOr|s.m.: scriitori|Economics||
2486|6446|兽医|veterinar|veterinAr|s.m.: veterinari|Economics||
2487|6447|药剂师|farmacist|farmacIst|s.m.: farmaciști|Economics||
2488|6448|遵守规则|a respecta regulile|a respectA rEgulile|verb: conj. I (respect/respecți/respectă)|Law||
2489|6449|违反法律|a încălca legea|a încălcA lEgea|verb: conj. I (încalc/încalci/încalcă)|Law||
2490|6450|维护权利|a-și apăra drepturile|a-și apărA drEpturile|verb: conj. I (apăr/aperi/apără)|Law||
2491|6451|申请许可|a solicita un permis|a solicitA un permIs|verb: conj. I (solicit/soliciți/solicită)|Law||
2492|6452|提交申请|a depune o cerere|a depUne o cErere|verb: conj. III (depun/depui/depune)|Law||
2493|6453|签署合同|a semna un contract|a semnA un contrAct|verb: conj. I (semnez/semnezi/semnează)|Law||
2494|6454|取消合同|a rezilia un contract|a reziliA un contrAct|verb: conj. I (reziliez/reziliezi/reziliază)|Law||
2495|6455|起诉某人|a da pe cineva în judecată|a dA pe cIneva în judecAtă|verb: conj. I (dau/dai/dă)|Law||
2496|6456|辩护|a se apăra|a se apărA|verb: conj. I (mă apar/te aperi/se apără)|Law||
2497|6457|上诉|a face apel|a fAce apEl|verb: conj. III (fac/faci/face)|Law||
2498|6458|赔偿|a despăgubi|a despăgubI|verb: conj. IV (despăgubesc/despăgubești/despăgubește)|Law||
2499|6459|支付罚款|a plăti o amendă|a plătI o amEndă|verb: conj. IV (plătesc/plătești/plătește)|Law||
2500|6460|做证|a depune mărturie|a depUne mărturIe|verb: conj. III (depun/depui/depune)|Law||
